movie_rank,movie_name,movie_year,movie_rating,summary
1,The Shawshank Redemption,1994,9.3,over course several years two convicts form friendship seeking consolation eventually redemption through basic compassion
2,The Godfather,1972,9.2,aging patriarch organized crime dynasty transfers control his clandestine empire his reluctant son
3,The Dark Knight,2008,9,when menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests his ability fight injustice
4,The Godfather Part II,1974,9,early life career vito corleone s new york city portrayed while his son michael expands tightens his grip family crime syndicate
5,12 Angry Men,1957,9,jury new york city murder trial frustrated single member whose skeptical caution forces them more carefully consider evidence before jumping hasty verdict
6,Schindler's List,1993,9,germanoccupied poland during world war ii industrialist oskar schindler gradually becomes concerned his jewish workforce after witnessing persecution nazis
7,The Lord of the Rings: The Return of the King,2003,9,gandalf aragorn lead world men against saurons army draw his gaze frodo sam they approach mount doom one ring
8,Pulp Fiction,1994,8.9,lives two mob hitmen boxer gangster his wife pair diner bandits intertwine four tales violence redemption
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,meek hobbit shire eight companions set out journey destroy powerful one ring save middleearth dark lord sauron
10,"Il buono, il brutto, il cattivo",1966,8.8,bounty hunting scam joins two men uneasy alliance against third race find fortune gold buried remote cemetery
11,Forrest Gump,1994,8.8,history united states s s unfolds perspective alabama man iq who yearns reunited his childhood sweetheart
12,The Lord of the Rings: The Two Towers,2002,8.8,while frodo sam edge closer mordor help shifty gollum divided fellowship makes stand against saurons new ally saruman his hordes isengard
13,Fight Club,1999,8.8,insomniac office worker devilmaycare soap maker form underground fight club evolves into much more
14,Inception,2010,8.8,thief who steals corporate secrets through use dreamsharing technology given inverse task planting idea into mind ceo his tragic past may doom project his team disaster
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,after rebel alliance overpowered empire luke skywalker begins his jedi training yoda while his friends pursued across galaxy darth vader bounty hunter boba fett
16,The Matrix,1999,8.7,when beautiful stranger leads computer hacker neo forbidding underworld he discovers shocking truththe life he knows elaborate deception evil cyberintelligence
17,Goodfellas,1990,8.7,story henry hill his life mafia covering his relationship his wife karen his mob partners jimmy conway tommy devito
18,One Flew Over the Cuckoo's Nest,1975,8.7,fall korean war veteran criminal pleads insanity admitted mental institution where he rallies up scared patients against tyrannical nurse
19,Se7en,1995,8.6,two detectives rookie veteran hunt serial killer who uses seven deadly sins his motives
20,Interstellar,2014,8.7,when earth becomes uninhabitable future farmer exnasa pilot joseph cooper tasked pilot spacecraft along team researchers find new planet humans
21,It's a Wonderful Life,1946,8.6,angel sent heaven help desperately frustrated businessman showing him life have been like he never existed
22,Shichinin no samurai,1954,8.6,farmers village exploited bandits hire veteran samurai protection who gathers six other samurai join him
23,The Silence of the Lambs,1991,8.6,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman who skins his victims
24,Saving Private Ryan,1998,8.6,following normandy landings group us soldiers go behind enemy lines retrieve paratrooper whose brothers have been killed action
25,Cidade de Deus,2002,8.6,slums rio two kids paths diverge one struggles become photographer other kingpin
26,Dune: Part Two,2024,8.7,paul atreides unites chani fremen while seeking revenge against conspirators who destroyed his family
27,La vita � bella,1997,8.6,when openminded jewish waiter his son become victims holocaust he uses perfect mixture humor imagination protect his son dangers around camp
28,The Green Mile,1999,8.6,tale set death row where gentle giant john coffey possesses mysterious power heal peoples ailments when lead guard paul edgecombe recognizes johns gift he tries help stave off condemned mans execution
29,Terminator 2: Judgment Day,1991,8.6,cyborg identical one who failed kill sarah connor must now protect her ten year old son john even more advanced powerful cyborg
30,Star Wars,1977,8.6,luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station while also attempting rescue princess leia mysterious darth vader
31,Back to the Future,1985,8.5,marty mcfly yearold high school student accidentally sent years into past timetraveling delorean invented his close friend maverick scientist doc brown
32,Sen to Chihiro no kamikakushi,2001,8.6,during her familys move suburbs sullen yearold girl wanders into world ruled gods witches spirits where humans changed into beasts
33,The Pianist,2002,8.5,during wwii acclaimed polish musician wladyslaw faces various struggles he loses contact his family situation worsens he hides ruins warsaw order survive
34,Gisaengchung,2019,8.5,greed class discrimination threaten newlyformed symbiotic relationship between wealthy park family destitute kim clan
35,Psycho,1960,8.5,phoenix secretary embezzles her employers client goes run checks into remote motel run young man under domination his mother
36,Spider-Man: Across the Spider-Verse,2023,8.6,miles morales catapults across multiverse where he encounters team spiderpeople charged protecting its very existence when heroes clash how handle new threat miles must redefine means hero
37,Gladiator,2000,8.5,former roman general sets out exact vengeance against corrupt emperor who murdered his family sent him into slavery
38,The Lion King,1994,8.5,lion prince simba his father targeted his bitter uncle who wants ascend throne himself
39,The Departed,2006,8.5,undercover cop mole police attempt identify each other while infiltrating irish gang south boston
40,L�on,1994,8.5,yearold mathilda reluctantly taken lon professional assassin after her family murdered unusual relationship forms she becomes his protge learns assassins trade
41,American History X,1998,8.5,living life marked violence neonazi derek finally goes prison after killing two black youths upon his release derek vows change he hopes prevent his brother danny who idolizes derek following his footsteps
42,Whiplash,2014,8.5,promising young drummer enrolls cutthroat music conservatory where his dreams greatness mentored instructor who stop nothing realize students potential
43,The Prestige,2006,8.5,after tragic accident two stage magicians s london engage battle create ultimate illusion while sacrificing everything they have outwit each other
44,Hotaru no haka,1988,8.5,young boy his little sister struggle survive japan during world war ii
45,Seppuku,1962,8.6,when ronin requesting seppuku feudal lords palace told brutal suicide another ronin who previously visited he reveals how pasts intertwined doing so challenges clans integrity
46,The Usual Suspects,1995,8.5,sole survivor pier shootout tells story how notorious criminal influenced events began five criminals meeting seemingly random police lineup
47,Casablanca,1942,8.5,cynical expatriate american cafe owner struggles decide whether help his former lover her fugitive husband escape nazis french morocco
48,Intouchables,2011,8.5,after he becomes quadriplegic paragliding accident aristocrat hires young man projects his caregiver
49,Nuovo Cinema Paradiso,1988,8.5,filmmaker recalls his childhood when falling love pictures cinema his home village forms deep friendship cinemas projectionist
50,Modern Times,1936,8.5,tramp struggles live modern industrial society help young homeless woman
51,Rear Window,1954,8.5,wheelchairbound photographer spies his neighbors his greenwich village courtyard apartment window despite skepticism his fashionmodel girlfriend becomes convinced one them committed murder
52,C'era una volta il West,1968,8.5,mysterious stranger harmonica joins forces notorious desperado protect beautiful widow ruthless assassin working railroad
53,Alien,1979,8.5,crew commercial spacecraft encounters deadly lifeform after investigating mysterious transmission unknown origin
54,City Lights,1931,8.5,aid wealthy erratic tippler dewyeyed tramp who fallen love sightless flower girl accumulates money able help her medically
55,Django Unchained,2012,8.5,help german bountyhunter freed slave sets out rescue his wife brutal plantation owner mississippi
56,Apocalypse Now,1979,8.4,us army officer serving vietnam tasked assassinating renegade special forces colonel who sees himself god
57,Memento,2000,8.4,man shortterm memory loss attempts track down his wifes murderer
58,12th Fail,2023,8.9,reallife story ips officer manoj kumar sharma irs officer shraddha joshi
59,WALL�E,2008,8.4,distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind
60,Raiders of the Lost Ark,1981,8.4,archaeologist adventurer indiana jones hired us government find ark covenant before nazis obtain its awesome powers
61,Das Leben der Anderen,2006,8.4,east berlin agent secret police conducting surveillance writer his lover finds himself becoming increasingly absorbed lives
62,Sunset Blvd.,1950,8.4,screenwriter develops dangerous relationship faded film star determined make triumphant return
63,Avengers: Infinity War,2018,8.4,avengers allies must willing sacrifice all attempt defeat powerful thanos before his blitz devastation ruin puts end universe
64,Paths of Glory,1957,8.4,after failed attack german position general orders three soldiers chosen random courtmartialed cowardice commanding officer must defend them
65,Spider-Man: Into the Spider-Verse,2018,8.4,teen miles morales becomes spiderman his universe must join five spiderpowered individuals other dimensions stop threat all realities
66,Witness for the Prosecution,1957,8.4,veteran british barrister must defend his client murder trial surprise after surprise
67,The Shining,1980,8.4,family heads isolated hotel winter where sinister presence influences father into violence while his psychic son sees horrific forebodings both past future
68,The Great Dictator,1940,8.4,dictator adenoid hynkel tries expand his empire while poor jewish barber tries avoid persecution hynkels regime
69,Aliens,1986,8.4,decades after surviving nostromo incident ellen ripley sent out reestablish contact terraforming colony finds herself battling alien queen her offspring
70,Inglourious Basterds,2009,8.4,nazioccupied france during world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans same
71,The Dark Knight Rises,2012,8.4,eight years after jokers reign chaos batman coerced out exile assistance mysterious selina kyle order defend gotham city vicious guerrilla terrorist bane
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,unhinged american general orders bombing attack soviet union triggering path nuclear holocaust war room full politicians generals frantically tries stop
73,Coco,2017,8.4,aspiring musician miguel confronted his familys ancestral ban music enters land dead find his greatgreatgrandfather legendary singer
74,American Beauty,1999,8.3,sexually frustrated suburban father midlife crisis after becoming infatuated his daughters best friend
75,Oldeuboi,2003,8.3,after being kidnapped imprisoned fifteen years oh daesu released only find he must track down his captor five days
76,Amadeus,1984,8.4,life success troubles wolfgang amadeus mozart told antonio salieri contemporaneous composer who deeply jealous mozarts talent claimed have murdered him
77,Toy Story,1995,8.3,cowboy doll profoundly threatened jealous when new spaceman action figure supplants him top toy boys bedroom
78,Das Boot,1981,8.4,german uboat stalks frigid waters north atlantic its young crew experience sheer terror claustrophobic life submariner world war ii
79,Avengers: Endgame,2019,8.4,after devastating events avengers infinity war universe ruins help remaining allies avengers assemble once more order reverse thanos actions restore balance universe
80,Braveheart,1995,8.3,scottish warrior william wallace leads his countrymen rebellion free his homeland tyranny king edward i england
81,Good Will Hunting,1997,8.3,hunting janitor mit gift mathematics needs help psychologist find direction his life
82,Mononoke-hime,1997,8.3,journey find cure tatarigamis curse ashitaka finds himself middle war between forest gods tatara mining colony quest he also meets san mononoke hime
83,Joker,2019,8.4,during s failed standup comedian driven insane turns life crime chaos gotham city while becoming infamous psychopathic crime figure
84,Kimi no na wa.,2016,8.4,two teenagers share profound magical connection upon discovering they swapping bodies things manage become even more complicated when boy girl decide meet person
85,Tengoku to jigoku,1963,8.4,executive yokohama shoe company becomes victim extortion when his chauffeurs son kidnapped mistake held ransom
86,Once Upon a Time in America,1984,8.3,former prohibitionera jewish gangster returns lower east side manhattan years later where he must once again confront ghosts regrets his old life
87,3 Idiots,2009,8.4,two friends searching long lost companion they revisit college days recall memories friend who inspired them think differently even rest world called them idiots
88,Singin' in the Rain,1952,8.3,silent film star falls chorus girl just he his delusionally jealous screen partner trying make difficult transition talking pictures s hollywood
89,Capharna�m,2018,8.4,while serving fiveyear sentence violent crime yearold boy sues his parents neglect
90,Idi i smotri,1985,8.4,after finding old rifle young boy joins soviet resistance movement against ruthless german forces experiences horrors world war ii
91,Requiem for a Dream,2000,8.3,druginduced utopias four coney island people shattered when addictions run deep
92,Toy Story 3,2010,8.3,toys mistakenly delivered daycare center instead attic right before andy leaves college its up woody convince other toys they werent abandoned return home
93,Star Wars: Episode VI - Return of the Jedi,1983,8.3,after rescuing han solo jabba hutt rebel alliance attempt destroy second death star while luke struggles help darth vader back dark side
94,Eternal Sunshine of the Spotless Mind,2004,8.3,when relationship turns sour couple undergoes medical procedure have each other erased memories forever
95,Jagten,2012,8.3,teacher lives lonely life all while struggling over his sons custody his life slowly gets better he finds love receives good news his son his new luck about brutally shattered innocent little lie
96,2001: A Space Odyssey,1968,8.3,after uncovering mysterious artifact buried beneath lunar surface spacecraft sent jupiter find its origins spacecraft manned two men supercomputer hal
97,Oppenheimer,2023,8.3,story american scientist j robert oppenheimer his role development atomic bomb
98,Reservoir Dogs,1992,8.3,when simple jewelry heist goes horribly wrong surviving criminals begin suspect one them police informant
99,Ikiru,1952,8.3,bureaucrat tries find meaning his life after he discovers he terminal cancer
100,Lawrence of Arabia,1962,8.3,story te lawrence english officer who successfully united led diverse often warring arab tribes during world war i order fight turks
101,The Apartment,1960,8.3,manhattan insurance clerk tries rise his company letting its executives use his apartment trysts complications romance his own ensue
102,Incendies,2010,8.3,twins journey middle east discover family history fulfill mothers last wishes
103,North by Northwest,1959,8.3,new york city advertising executive goes run after being mistaken government agent group foreign spies falls woman whose loyalties he begins doubt
104,Citizen Kane,1941,8.3,following death publishing tycoon charles foster kane reporters scramble uncover meaning his final utterance rosebud
105,M - Eine Stadt sucht einen M�rder,1931,8.3,when police german city unable catch childmurderer other criminals join manhunt
106,Vertigo,1958,8.3,former san francisco police detective juggles wrestling his personal demons becoming obsessed hauntingly beautiful woman he been hired trail who may deeply disturbed
107,Scarface,1983,8.3,miami determined cuban immigrant takes over drug cartel succumbs greed
108,Double Indemnity,1944,8.3,los angeles insurance representative lets alluring housewife seduce him into scheme insurance fraud murder arouses suspicion his colleague insurance investigator
109,Full Metal Jacket,1987,8.3,pragmatic us marine observes dehumanizing effects vietnam war his fellow recruits brutal boot camp training bloody street fighting hue
110,Le fabuleux destin d'Am�lie Poulain,2001,8.3,despite being caught her imaginative world amelie young waitress decides help people find happiness her quest spread joy leads her journey where she finds true love
111,Heat,1995,8.3,group highend professional thieves start feel heat lapd when they unknowingly leave verbal clue latest heist
112,A Clockwork Orange,1971,8.3,future sadistic gang leader imprisoned volunteers conductaversion experiment doesnt go planned
113,Up,2009,8.3,yearold carl fredricksen travels paradise falls his house equipped balloons inadvertently taking young stowaway
114,To Kill a Mockingbird,1962,8.3,atticus finch widowed lawyer depressionera alabama defends black man against undeserved rape charge tries educate his young children against prejudice
115,Jodaeiye Nader az Simin,2011,8.3,married couple faced difficult decision improve life child moving another country stay iran look after deteriorating parent who alzheimers disease
116,The Sting,1973,8.3,two grifters team up pull off ultimate con
117,Indiana Jones and the Last Crusade,1989,8.2,after his father goes missing while pursuing holy grail indiana jones finds himself up against nazis again stop them obtaining its powers
118,Die Hard,1988,8.2,new york city police officer tries save his estranged wife several others taken hostage terrorists during christmas party nakatomi plaza los angeles
119,Metropolis,1927,8.3,futuristic city sharply divided between working class city planners son citys mastermind falls love workingclass prophet who predicts coming savior mediate differences
120,Taare Zameen Par,2007,8.3,eightyearold boy thought lazy troublemaker until new art teacher patience compassion discover real problem behind his struggles school
121,Snatch,2000,8.2,unscrupulous boxing promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track down priceless stolen diamond
122,Hamilton,2020,8.3,real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast
123,L.A. Confidential,1997,8.2,corruption grows s los angeles three policemen one straitlaced one brutal one sleazy investigate series murders own brand justice
